Title; 	 Artist
Detalhes;	Hungria Hip Hop


Playlist 12: 
Back In Black;	AC/DC
Maze;	Juice WRLD
Far Away;	Nickelback
Faneto;	Chief Keef
Money;	Cardi B
BOOMBAYAH;	BLACKPINK
Rosanna;	TOTO
Hey Joe;	Jimi Hendrix
Live Like You Were Dying;	Tim McGraw
Easter In Miami;	Kodak Black
Up;	Cardi B
Why Does My Heart Feel so Bad?;	Moby
Last First Kiss;	One Direction
Paypal;	Teto
Stop This Train;	John Mayer
Tighten Up;	The Black Keys
Ultra;	Booba


Playlist 13: 
Addicted;	Amy Winehouse
On the Road Again;	Willie Nelson
Main Hoon Saath Tere;	Arijit Singh
Dulce Locura;	La Oreja de Van Gogh
Note to Self;	J. Cole
She Moves In Her Own Way;	The Kooks
Ilamai Thirumbudhe - From "Petta";	Anirudh Ravichander
Blue Christmas;	Elvis Presley
El Mismo Sol;	Alvaro Soler
Yo Quisiera Amarla;	Aventura
Vai Que Bebereis - Ao Vivo;	Henrique & Juliano
All Shook Up;	Elvis Presley
Slow Down;	Pamungkas
I Can;	Nas
Tus Besos;	Juan Luis Guerra 4.40
Me Dijeron;	Ozuna
La Gran Señora;	Jenni Rivera


Playlist 14: 
Lo Que No Fue No Será;	José José
Esta Cobardia;	Valentín Elizalde
Me Llamas;	Piso 21
The Weekend;	Brantley Gilbert
Springsteen;	Eric Church
Love Me Do - Remastered 2009;	The Beatles
I Can't Go for That (No Can Do);	Daryl Hall & John Oates
Si el Norte Fuera el Sur;	Ricardo Arjona
The Name Of The Game;	ABBA
Coffee & TV;	Blur
La Puerta Negra;	Los Tigres Del Norte
Por Qué No Le Calas;	Jenni Rivera
Fallin' All In You;	Shawn Mendes
Chicken Fried;	Zac Brown Band
Long Time Gone;	The Chicks
You Need Me, I Don't Need You;	Ed Sheeran
Disappear;	INXS


Playlist 15: 
Blue Jeans;	Lana Del Rey
Close Your Eyes;	Michael Bublé
Grenade - Acoustic;	Bruno Mars
Someone Somewhere (In Summertime);	Simple Minds
Psycho Killer;	Talking Heads
Angel;	NCT 127
Still The Same;	Bob Seger
Fitter Happier;	Radiohead
Skin;	Rihanna
Donde Nadie Pueda Ir;	Manuel Medrano
Till There Was You - Remastered 2009;	The Beatles
In the City - 2013 Remaster;	Eagles
If I Could Turn Back Time;	Cher
Take Care;	Beach House
Blood - Hidden Track;	My Chemical Romance
La petite voix;	PNL
Pochette;	Capo Plaza


Playlist 16: 
Anunciação / Put Your Records On - Superstar;	Melim
Marry Me;	Jason Derulo
Mi Vida Sin Ti (En Vivo);	Jesús Adrián Romero
Lookalike;	Conan Gray
Sei Un Pensiero Speciale;	Eros Ramazzotti
Romanza;	Andrea Bocelli
oneway;	Cro
Mi Segunda Vida;	La Arrolladora Banda El Limón De Rene Camacho
Last Kiss;	Taylor Swift
